depth,magnitude_a,time,latitude,longitude
15,5.2,19860324124958, 29149 , 129551 
33,5.1,19860324161145.7, 24513 , 123106 
138.7,5.1,19860325130043.1, 37163 , 139364 
33,5.1,19860325211347.1, 24479 , 123136 
2.4,5,19860326224227, 37271 , 143229 
0,5.3,19860327052324.2, 44192 , 148307 
1,5.1,19860329115836.5, 37287 , 143195 
80,5.3,19860406075913.1, 44083 , 147461 
14,5.3,19860410163138.8, 29098 , 141546 
38,5.7,19860416103141.2, 30432 , 142156 
0,6.2,19860416215216.6, 43361 , 147304 
33,5.1,19860420113420.7, 24589 , 123215 
7,5.6,19860423181154.8, 30538 , 142094 
11,5.4,19860429171756.1, 30547 , 141522 
25.9,5.4,19860430132447.3, 35227 , 131313 
62.3,5.5,19860501081443, 28382 , 130159 
33,5.1,19860511063612.1, 28189 , 140401 
206,6.6,19860511102426.8, 26393 , 125220 
14,5.6,1986051407002.5, 32429 , 142029 
33,5,19860516171654.6, 28166 , 140340 
33,6.2,19860520142548.6, 24019 , 121361 
33,5.5,19860520143730.7, 23596 , 121330 
10,6.2,19860521144710.2, 43530 , 148193 
0,5.1,19860522192953, 43519 , 147434 
0,5,1986052222393.5, 43481 , 148422 
10,5,19860526115935.2, 40051 , 141121 
50,5.1,19860529070421.9, 44317 , 149590 
0,5.1,1986053006565.4, 44217 , 147541 
86.3,5.4,1986053112408.1, 43042 , 145411 
70.6,5.5,19860602125622.2, 29382 , 130527 
32,5.2,19860602232134, 24023 , 123227 
172,5,19860607064359.4, 25455 , 124326 
35,5.4,1986060813252.4, 36321 , 142575 
58.7,5.9,19860608200228.5, 43041 , 146213 
366,5.1,19860611161230.5, 46590 , 148272 
73.3,6.4,1986062411539.7, 34496 , 140430 
69.5,5.1,19860625034530.8, 34524 , 140434 
11.8,5,19860627201850.7, 39027 , 140568 
61.1,5.3,19860709053427.6, 43421 , 146234 
106,5,19860711011328.3, 28292 , 140205 
78,5,1986071202023.8, 24290 , 126516 
37,6.5,1986072608418.8, 26193 , 126008 
13.2,5.1,19860728094336.3, 32280 , 130287 
33,5.6,19860730203150.2, 24370 , 121478 
33,5.1,19860731203635.7, 24515 , 122423 
39.7,5.1,19860804194813, 42243 , 144433 
33,5,1986081000433.6, 28275 , 140253 
129,5.4,19860811170557.2, 22147 , 121401 
51,5,19860811183550.4, 20025 , 121247 
33,5.5,19860811193759, 20053 , 121239 
33,5.3,1986083118233.5, 23084 , 144080 
33,5.2,19860914214232.2, 24058 , 141523 
9,5.1,19860914225440.6, 43364 , 147288 
13,5.3,19860917200115.6, 26276 , 128556 
